"id","x","y","Categories","Year","Area (m2)","Population","Female","Male","Population Density","Household (person)","Per Capita Income","Housing Unit Prices For Sale","Housing Unit Prices For Rent","Commercial Property Unit Prices For Sale","Commercial Property Unit Prices For Rent","nearest2009_1","nearest2009_2","nearest2009_3","nearest2009_4","nearest2009_5","nearest2013_1","nearest2013_2","nearest2013_3","nearest2013_4","nearest2013_5","nearest2020_1","nearest2020_2","nearest2020_3","nearest2020_4","nearest2020_5","x_coord","y_coord"
0,"405682.182","4546361.891",25,2009,"487415.2707","32.578","15.983","16.595","0.0668","3.89","4.964","3.507",14,"4.182",26,20,18,7,6,29,23,16,11,6,29,4,16,11,6,29,"41.046664","28.878191"
1,"405684.827","4546356.467",20,2009,"487415.2707","32.578","15.983","16.595","0.0668","3.89","4.964","3.507",14,"4.182",26,18,25,7,6,16,16,25,11,6,16,16,25,11,6,16,"41.046615","28.878224"
2,"405686.547","4546352.895",18,2009,"487415.2707","32.578","15.983","16.595","0.0668","3.89","4.964","3.507",14,"4.182",26,20,7,6,25,16,23,11,6,25,16,4,11,6,25,16,"41.046583","28.878245"
3,"405689.193","4546348.662",7,2009,"487415.2707","32.578","15.983","16.595","0.0668","3.89","4.964","3.507",14,"4.182",26,6,18,16,20,25,6,16,16,23,25,6,16,16,4,25,"41.046546","28.878277"
4,"405690.648","4546345.619",6,2009,"487415.2707","32.578","15.983","16.595","0.0668","3.89","4.964","3.507",14,"4.182",26,7,16,18,20,20,11,16,16,23,16,11,16,16,4,20,"41.046518","28.878295"
5,"405692.368","4546342.708",16,2009,"487415.2707","32.578","15.983","16.595","0.0668","3.89","4.964","3.507",14,"4.182",26,6,7,20,18,20,6,11,16,16,23,6,11,20,16,4,"41.046492","28.878315"
6,"405695.94","4546334.374",20,2009,"487415.2707","32.578","15.983","16.595","0.0668","3.89","4.964","3.507",14,"4.182",26,16,16,6,7,25,16,4,6,11,25,16,4,6,11,25,"41.046418","28.878359"
7,"405700.306","4546325.246",16,2009,"487415.2707","32.578","15.983","16.595","0.0668","3.89","4.964","3.507",14,"4.182",26,25,20,8,16,16,25,16,8,20,16,25,20,10,16,16,"41.046336","28.878413"
8,"405702.713","4546320.298",25,2009,"487415.2707","32.578","15.983","16.595","0.0668","3.89","4.964","3.507",14,"4.182",26,16,8,16,20,20,4,8,20,16,8,4,10,16,20,29,"41.046292","28.878442"
9,"405705.624","4546313.948",8,2009,"487415.2707","32.578","15.983","16.595","0.0668","3.89","4.964","3.507",14,"4.182",26,16,25,16,16,25,20,25,4,16,16,16,25,4,16,29,"41.046235","28.878477"
9,"405705.624","4546313.948",8,2010,"487415.2707","32.578","15.983","16.595","0.0668","3.89","4.964","3.507",14,"4.182",26,16,25,16,16,25,20,25,4,16,16,16,25,4,16,29,"41.046235","28.878477"
9,"405705.624","4546313.948",8,2011,"487415.2707","32.578","15.983","16.595","0.0668","3.89","4.964","3.507",14,"4.182",26,16,25,16,16,25,20,25,4,16,16,16,25,4,16,29,"41.046235","28.878477"
